category,date,sales
Cafe Beverages,2021-01-16 20:00:00,10168.2
Cafe Beverages,2021-01-16 21:00:00,8075.88
Cafe Beverages,2021-01-16 22:00:00,3723.88
Cafe Beverages,2021-01-16 23:00:00,1171.49
Cafe Beverages,2021-01-17 0:00:00,195.81
Cafe Beverages,2021-01-17 4:00:00,357
Cafe Beverages,2021-01-17 5:00:00,595
Cafe Beverages,2021-01-17 6:00:00,476
Cafe Beverages,2021-01-17 7:00:00,119
Cafe Beverages,2021-01-17 8:00:00,1469.63
Cafe Beverages,2021-01-17 9:00:00,859.79
Cafe Beverages,2021-01-17 10:00:00,2767.93
Cafe Beverages,2021-01-17 11:00:00,6776.54
Cafe Beverages,2021-01-17 12:00:00,12520.09
Cafe Beverages,2021-01-17 13:00:00,15252.2
Cafe Beverages,2021-01-17 14:00:00,16701.3
Cafe Beverages,2021-01-17 15:00:00,20077.79
Cafe Beverages,2021-01-17 16:00:00,22949.19
Cafe Beverages,2021-01-17 17:00:00,31806.22
Cafe Beverages,2021-01-17 18:00:00,20980.78
Cafe Beverages,2021-01-17 19:00:00,15443.76
Cafe Beverages,2021-01-17 20:00:00,12570.05
Cafe Beverages,2021-01-17 21:00:00,6786.29
Cafe Beverages,2021-01-17 22:00:00,3562.34
Cafe Beverages,2021-01-17 23:00:00,940.49
Cafe Beverages,2021-01-18 0:00:00,370.26
Cafe Beverages,2021-01-18 1:00:00,244.63
Cafe Beverages,2021-01-18 2:00:00,87.36
Cafe Beverages,2021-01-18 6:00:00,833
Cafe Beverages,2021-01-18 7:00:00,337
Cafe Beverages,2021-01-18 8:00:00,727.22
Cafe Beverages,2021-01-18 9:00:00,1446.82
Cafe Beverages,2021-01-18 10:00:00,2427.74
Cafe Beverages,2021-01-18 11:00:00,4243.63
Cafe Beverages,2021-01-18 12:00:00,9269.31
Cafe Beverages,2021-01-18 13:00:00,10304.46
Cafe Beverages,2021-01-18 14:00:00,11270.81
Cafe Beverages,2021-01-18 15:00:00,12675.6
Cafe Beverages,2021-01-18 16:00:00,15033.76
Cafe Beverages,2021-01-18 17:00:00,14959.34
Cafe Beverages,2021-01-18 18:00:00,9579.4
Cafe Beverages,2021-01-18 19:00:00,6658.87
Cafe Beverages,2021-01-18 20:00:00,8065.27
Cafe Beverages,2021-01-18 21:00:00,4258.41
Cafe Beverages,2021-01-18 22:00:00,1936.56
Cafe Beverages,2021-01-18 23:00:00,767.6
Cafe Beverages,2021-01-19 0:00:00,209.72
Cafe Beverages,2021-01-19 1:00:00,117.95
Cafe Beverages,2021-01-19 2:00:00,223.98
Cafe Beverages,2021-01-19 5:00:00,469.33
Cafe Beverages,2021-01-19 6:00:00,357
Cafe Beverages,2021-01-19 8:00:00,548.95
Cafe Beverages,2021-01-19 9:00:00,1615.98
Cafe Beverages,2021-01-19 10:00:00,2108.85
Cafe Beverages,2021-01-19 11:00:00,4627.29
Cafe Beverages,2021-01-19 12:00:00,7330.83
Cafe Beverages,2021-01-19 13:00:00,10692.54
Cafe Beverages,2021-01-19 14:00:00,7579.66
Cafe Beverages,2021-01-19 15:00:00,9306.06
